idcid;codigo;descricao;restricao_sexo
3404;I672;Aterosclerose cerebral;
3405;I673;Leucoencefalopatia vascular progressiva;
3406;I674;Encefalopatia hipertensiva;
3407;I675;Doença de Moyamoya;
3408;I676;Trombose não-piogênica do sistema venoso intracraniano;
3409;I677;Arterite cerebral não classificada em outra parte;
3410;I678;Outras doenças cerebrovasculares especificadas;
3411;I679;Doença cerebrovascular não especificada;
3412;I680;Angiopatia cerebral amiloidótica;
3413;I681;Arterite cerebral em doenças infecciosas e parasitárias;
3414;I682;Arterite cerebral em outras doenças classificadas em outra parte;
3415;I688;Outros transtornos cerebrovasculares em doenças classificadas em outra parte;
3416;I690;Seqüelas de hemorragia subaracnoídea;
3417;I691;Seqüelas de hemorragia intracerebral;
3418;I692;Seqüelas de outras hemorragias intracranianas não traumáticas;
3419;I693;Seqüelas de infarto cerebral;
3420;I694;Seqüelas de acidente vascular cerebral não especificado como hemorrágico ou isquêmico;
3421;I698;Seqüelas de outras doenças cerebrovasculares e das não especificadas;
3422;I700;Aterosclerose da aorta;
3423;I701;Aterosclerose da artéria renal;
3424;I702;Aterosclerose das artérias das extremidades;
3425;I708;Aterosclerose de outras artérias;
3426;I709;Aterosclerose generalizada e a não especificada;
3427;I710;Aneurisma dissecante da aorta [qualquer porção];
3428;I711;Aneurisma da aorta torácica, roto;
3429;I712;Aneurisma da aorta torácica, sem menção de ruptura;
3430;I713;Aneurisma da aorta abdominal, roto;
3431;I714;Aneurisma da aorta abdominal, sem menção de ruptura;
3432;I715;Aneurisma da aorta tóraco-abdominal, roto;
3433;I716;Aneurisma da aorta toráco-abdominal, sem menção de ruptura;
3434;I718;Aneurisma da aorta de localização não especificada, roto;
3435;I719;Aneurisma aórtico de localização não especificada, sem menção de ruptura;
3436;I720;Aneurisma da artéria carótida;
3437;I721;Aneurisma de artéria dos membros superiores;
3438;I722;Aneurisma da artéria renal;
3439;I723;Aneurisma de artéria ilíaca;
3440;I724;Aneurisma de artéria dos membros inferiores;
3441;I728;Aneurisma de outras artérias especificadas;
3442;I729;Aneurisma de localização não especificada;
3443;I730;Síndrome de Raynaud;
3444;I731;Tromboangeíte obliterante [doença de Buerger];
3445;I738;Outras doenças vasculares periféricas especificadas;
3446;I739;Doenças vasculares periféricas não especificada;
3447;I740;Embolia e trombose da aorta abdominal;
3448;I741;Embolia e trombose de outras porções da aorta e das não especificadas;
3449;I742;Embolia e trombose de artérias dos membros superiores;
3450;I743;Embolia e trombose de artérias dos membros inferiores;
3451;I744;Embolia e trombose de artérias dos membros não especificadas;
3452;I745;Embolia e trombose da artéria ilíaca;
3453;I748;Embolia e trombose de outras artérias;
3454;I749;Embolia e trombose de artéria não especificada;
3455;I770;Fístula arteriovenosa adquirida;
3456;I771;Estenose de artéria;
3457;I772;Ruptura de artéria;
3458;I773;Displasia fibromuscular arterial;
3459;I774;Síndrome de compressão da artéria celíaca;
3460;I775;Necrose de artéria;
3461;I776;Arterite não especificada;
3462;I778;Outras afecções especificadas das artérias e das arteríolas;
3463;I779;Afecções de artérias e arteríolas, não especificadas;
3464;I780;Telangiectasia hemorrágica hereditária;
3465;I781;Nevo não-neoplásico;
3466;I788;Outras doenças dos capilares;
3467;I789;Doenças não especificadas dos capilares;
3468;I790;Aneurisma da aorta em doenças classificadas em outra parte;
3469;I791;Aortite em doenças classificadas em outra parte;
3470;I792;Angiopatia periférica em doenças classificadas em outra parte;
3471;I798;Outros transtornos das artérias, das arteríolas e dos capilares em doenças classificadas em outra parte;
3472;I800;Flebite e tromboflebite dos vasos superficiais dos membros inferiores;
3473;I801;Flebite e tromboflebite da veia femural;
3474;I802;Flebite e tromboflebite de outros vasos profundos dos membros inferiores;
3475;I803;Flebite e tromboflebite dos membros inferiores, não especificada;
3476;I808;Flebite e tromboflebite de outras localizações;
3477;I809;Flebite e tromboflebite de localização não especificada;
3478;I81;Trombose da veia porta;
3479;I820;Síndrome de Budd-Chiari;
3480;I821;Tromboflebite migratória;
3481;I822;Embolia e trombose de veia cava;
3482;I823;Embolia e trombose de veia renal;
3483;I828;Embolia e trombose de outras veias especificadas;
3484;I829;Embolia e trombose venosas de veia não especificada;
3485;I830;Varizes dos membros inferiores com úlcera;
3486;I831;Varizes dos membros inferiores com inflamação;
3487;I832;Varizes dos membros inferiores com úlcera e inflamação;
3488;I839;Varizes dos membros inferiores sem úlcera ou inflamação;
3489;I840;Hemorróidas internas trombosadas;
3490;I841;Hemorróidas internas com outras complicações;
3491;I842;Hemorróidas internas sem complicações;
3492;I843;Hemorróidas externas trombosadas;
3493;I844;Hemorróidas externas com outras complicações;
3494;I845;Hemorróidas externas sem complicação;
3495;I846;Plicomas hemorroidários residuais;
3496;I847;Hemorróidas trombosadas, não especificadas;
3497;I848;Hemorróidas não especificadas com outras complicações;
3498;I849;Hemorróidas sem complicações, não especificadas;
3499;I850;Varizes esofagianas sangrantes;
3500;I859;Varizes esofagianas sem sangramento;
3501;I860;Varizes sublinguais;
3502;I861;Varizes escrotais;M
3503;I862;Varizes pélvicas;
3504;I863;Varizes da vulva;F
3505;I864;Varizes gástricas;
3506;I868;Varizes de outras localizações especificadas;
3507;I870;Síndrome pós-flebite;
3508;I871;Compressão venosa;
3509;I872;Insuficiência venosa (crônica) (periférica);
3510;I878;Outros transtornos venosos especificados;
3511;I879;Transtorno venoso não especificado;
3512;I880;Linfadenite mesentérica não específica;
3513;I881;Linfadenite crônica, exceto a mesentérica;
3514;I888;Outras linfadenites inespecíficas;
3515;I889;Linfadenite não especificada;
3516;I890;Linfedema não classificado em outra parte;
3517;I891;Linfangite;
3518;I898;Outros transtornos não-infecciosos, especificados, dos vasos linfáticos e dos gânglios linfáticos;
3519;I899;Transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos, não especificados;
3520;I950;Hipotensão idiopática;
3521;I951;Hipotensão ortostática;
3522;I952;Hipotensão devida a drogas;
3523;I958;Outros tipos de hipotensão;
3524;I959;Hipotensão não especificada;
3525;I970;Síndrome pós-cardiotomia;
3526;I971;Outros distúrbios funcionais subseqüentes à cirurgia cardíaca;
3527;I972;Síndrome do linfedema pós-mastectomia;
3528;I978;Outros transtornos do aparelho circulatório subseqüentes a procedimentos não classificados em outra parte;
3529;I979;Transtornos do aparelho circulatório, subseqüentes a procedimento não especificado;
3530;I980;Sífilis cardiovascular;
3531;I981;Transtornos cardiovasculares em outras doenças infecciosas e parasitárias classificadas em outra parte;
3532;I982;Varizes esofagianas em doenças classificadas em outra parte;
3533;I988;Outros transtornos especificados do aparelho circulatório em doenças classificadas em outra parte;
3534;I99;Outros transtornos do aparelho circulatório e os não especificados;
3535;J00;Nasofaringite aguda [resfriado comum];
3536;J010;Sinusite maxilar aguda;
3537;J011;Sinusite frontal aguda;
3538;J012;Sinusite etmoidal aguda;
3539;J013;Sinusite esfenoidal aguda;
3540;J014;Pansinusite aguda;
3541;J018;Outras sinusites agudas;
3542;J019;Sinusite aguda não especificada;
3543;J020;Faringite estreptocócica;
3544;J028;Faringite aguda devida a outros microorganismos especificados;
3545;J029;Faringite aguda não especificada;
3546;J030;Amigdalite estreptocócica;
3547;J038;Amigdalite aguda devida a outros microorganismos especificados;
3548;J039;Amigdalite aguda não especificada;
3549;J040;Laringite aguda;
3550;J041;Traqueíte aguda;
3551;J042;Laringotraqueíte aguda;
3552;J050;Laringite obstrutiva aguda [crupe];
3553;J051;Epiglotite aguda;
3554;J060;Laringofaringite aguda;
3555;J068;Outras infecções agudas das vias aéreas superiores de localizações múltiplas;
3556;J069;Infecção aguda das vias aéreas superiores não especificada;
3557;J09;Influenza [gripe] devida a vírus identificado da gripe aviária;
3558;J100;Influenza com pneumonia devida a outro vírus da influenza [gripe] identificado;
3559;J101;Influenza com outras manifestações respiratórias, devida a outro vírus da influenza [gripe] identificado;
3560;J108;Influenza com outras manifestações, devida a outro vírus da influenza [gripe] identificado;
3561;J110;Influenza [gripe] com pneumonia, devida a vírus não identificado;
3562;J111;Influenza [gripe] com outras manifestações respiratórias, devida a vírus não identificado;
3563;J118;Influenza [gripe] com outras manifestações, devida a vírus não identificado;
3564;J120;Pneumonia devida a adenovírus;
3565;J121;Pneumonia devida a vírus respiratório sincicial;
3566;J122;Pneumonia devida à parainfluenza;
3567;J128;Outras pneumonias virais;
3568;J129;Pneumonia viral não especificada;
3569;J13;Pneumonia devida a Streptococcus pneumoniae;
3570;J14;Pneumonia devida a Haemophilus infuenzae;
3571;J150;Pneumonia devida à Klebsiella pneumoniae;
3572;J151;Pneumonia devida a Pseudomonas;
3573;J152;Pneumonia devida a Staphylococcus;
3574;J153;Pneumonia devida a Streptococcus do grupo B;
3575;J154;Pneumonia devida a outros estreptococos;
3576;J155;Pneumonia devida a Escherichia coli;
3577;J156;Pneumonia devida a outras bactérias aeróbicas gram-negativas;
3578;J157;Pneumonia devida a Mycoplasma pneumoniae;
3579;J158;Outras pneumonias bacterianas;
3580;J159;Pneumonia bacteriana não especificada;
3581;J160;Pneumonia devida a clamídias;
3582;J168;Pneumonia devida a outros microorganismos infecciosos especificados;
3583;J170;Pneumonia em doenças bacterianas classificadas em outra parte;
3584;J171;Pneumonia em doenças virais classificadas em outra parte;
3585;J172;Pneumonia em micoses classificadas em outra parte;
3586;J173;Pneumonia em doenças parasitárias classificadas em outra parte;
3587;J178;Pneumonia em outras doenças classificadas em outra parte;
3588;J180;Broncopneumonia não especificada;
3589;J181;Pneumonia lobar não especificada;
3590;J182;Pneumonia hipostática não especificada;
3591;J188;Outras pneumonias devidas a microorganismos não especificados;
3592;J189;Pneumonia não especificada;
3593;J200;Bronquite aguda devida a Mycoplasma pneumoniae;
3594;J201;Bronquite aguda devida a Haemophilus influenzae;
3595;J202;Bronquite aguda devida a estreptococos;
3596;J203;Bronquite aguda devida a vírus Coxsackie;
3597;J204;Bronquite aguda devida a vírus parainfluenza;
3598;J205;Bronquite aguda devida a vírus sincicial respiratório;
3599;J206;Bronquite aguda devida a rinovírus;
3600;J207;Bronquite aguda devida a echovírus;
3601;J208;Bronquite aguda devida a outros microorganismos especificados;
3602;J209;Bronquite aguda não especificada;
3603;J210;Bronquiolite aguda devida a vírus sincicial respiratório;
3604;J218;Bronquiolite aguda devida a outros microorganismos especificados;
3605;J219;Bronquite aguda não especificada;
3606;J22;Infecções agudas não especificada das vias aéreas inferiores;
3607;J300;Rinite vasomotora;
3608;J301;Rinite alérgica devida a pólen;
3609;J302;Outras rinites alérgicas sazonais;
3610;J303;Outras rinites alérgicas;
3611;J304;Rinite alérgica não especificada;
3612;J310;Rinite crônica;
3613;J311;Nasofaringite crônica;
3614;J312;Faringite crônica;
3615;J320;Sinusite maxilar crônica;
3616;J321;Sinusite frontal crônica;
3617;J322;Sinusite etmoidal crônica;
3618;J323;Sinusite esfenoidal crônica;
3619;J324;Pansinusite crônica;
3620;J328;Outras sinusites crônicas;
3621;J329;Sinusite crônica não especificada;
3622;J330;Pólipo da cavidade nasal;
3623;J331;Degeneração polipóide do seio paranasal;
3624;J338;Outros pólipos do seio paranasal;
3625;J339;Pólipo nasal não especificado;
3626;J340;Abscesso, furúnculo e antraz do nariz;
3627;J341;Cisto e mucocele do nariz e do seio paranasal;
3628;J342;Desvio do septo nasal;
3629;J343;Hipertrofia dos cornetos nasais;
3630;J348;Outros transtornos especificados do nariz e dos seios paranasais;
3631;J350;Amigdalite crônica;
3632;J351;Hipertrofia das amígdalas;
3633;J352;Hipertrofia das adenóides;
3634;J353;Hipertrofia das amígdalas com hipertrofia das adenóides;
3635;J358;Outras doenças crônicas das amígdalas e das adenóides;
3636;J359;Doenças das amígdalas e das adenóides não especificadas;
3637;J36;Abscesso periamigdaliano;
3638;J370;Laringite crônica;
3639;J371;Laringotraqueíte crônica;
3640;J380;Paralisia das cordas vocais e da laringe;
3641;J381;Pólipo das cordas vocais e da laringe;
3642;J382;Nódulos das cordas vocais;
3643;J383;Outras doenças das cordas vocais;
3644;J384;Edema da laringe;
3645;J385;Espasmo da laringe;
3646;J386;Estenose da laringe;
3647;J387;Outras doenças da laringe;
3648;J390;Abscesso retrofaríngeo e parafaríngeo;
3649;J391;Outros abscessos da faringe;
3650;J392;Outras doenças da faringe;
3651;J393;Reação de hipersensibilidade das vias aéreas superiores de localização não especificada;
3652;J398;Outras doenças especificadas das vias aéreas superiores;
3653;J399;Doença não especificada das vias aéreas superiores;
3654;J40;Bronquite não especificada como aguda ou crônica;
3655;J410;Bronquite crônica simples;
3656;J411;Bronquite crônica mucopurulenta;
3657;J418;Bronquite crônica mista, simples e mucopurulenta;
3658;J42;Bronquite crônica não especificada;
3659;J430;Síndrome de MacLeod;
3660;J431;Enfisema panlobular;
3661;J432;Enfisema centrolobular;
3662;J438;Outras formas de enfisema;
3663;J439;Enfisema não especificado;
3664;J440;Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior;
3665;J441;Doença pulmonar obstrutiva crônica com exacerbação aguda não especificada;
3666;J448;Outras formas especificadas de doença pulmonar obstrutiva crônica;
3667;J449;Doença pulmonar obstrutiva crônica não especificada;
3668;J450;Asma predominantemente alérgica;
3669;J451;Asma não-alérgica;
3670;J458;Asma mista;
3671;J459;Asma não especificada;
3672;J46;Estado de mal asmático;
3673;J47;Bronquectasia;
3674;J60;Pneumoconiose dos mineiros de carvão;
3675;J61;Pneumoconiose devida a amianto [asbesto] e outras fibras minerais;
3676;J620;Pneumoconiose devida a pó de talco;
3677;J628;Pneumoconiose devida a outras poeiras que contenham sílica;
3678;J630;Aluminose (do pulmão);
3679;J631;Fibrose (do pulmão) causada por bauxita;
3680;J632;Beriliose;
3681;J633;Fibrose (do pulmão) causada por grafite;
3682;J634;Siderose;
3683;J635;Estanose;
3684;J638;Pneumoconiose devida a outras poeira inorgânicas especificados;
3685;J64;Pneumoconiose não especificada;
3686;J65;Pneumoconiose associada com tuberculose;
3687;J660;Bissinose;
3688;J661;Doença dos cardadores de linho;
3689;J662;Canabinose;
3690;J668;Doenças das vias aéreas devida a outras poeiras orgânicas específicas;
3691;J670;Pulmão de fazendeiro;
3692;J671;Bagaçose;
3693;J672;Pulmão dos criadores de pássaros;
3694;J673;Suberose;
3695;J674;Pulmão dos trabalhadores do malte;
3696;J675;Pulmão dos que trabalham com cogumelos;
3697;J676;Pulmão dos cortadores de casca do bordo;
3698;J677;Doença pulmonar devida aos sistemas de ar condicionado e de umidificação do ar;
3699;J678;Pneumonites de hipersensibilidade, devidas a outras poeiras orgânicas;
3700;J679;Pneumonite de hipersensibilidade devida a poeira orgânica não especificada;
3701;J680;Bronquite e pneumonite devida a produtos químicos, gases, fumaças e vapores;
3702;J681;Edema pulmonar devido a produtos químicos, gases, fumaças e vapores;
3703;J682;Inflamação das vias aéreas superiores devida a produtos químicos, gases, fumaças e vapores, não classificada em outra parte;
3704;J683;Outras afecções respiratórias agudas e subagudas devidas a produtos químicos, gases, fumaças e vapores;
3705;J684;Afecções respiratórias crônicas devidas a produtos químicos, gases, fumaças e vapores;
3706;J688;Outras afecções respiratórias devida a produtos químicos, gases, fumaças e vapores;
3707;J689;Afecção respiratória não especificada devida a produtos químicos, gases, fumaça e vapores;
3708;J690;Pneumonite devida a alimento ou vômito;
3709;J691;Pneumonite devida a óleos e essências;
3710;J698;Pneumonite devida a outros sólidos e líquidos;
3711;J700;Manifestações pulmonares agudas devidas à radiação;
3712;J701;Manifestações pulmonares crônicas e outras, devidas a radiação;
3713;J702;Transtornos pulmonares intersticiais agudos, induzidos por droga;
3714;J703;Transtornos pulmonares intersticiais crônicos induzidos por droga;
3715;J704;Transtornos pulmonar intersticial não especificado induzido por droga;
3716;J708;Afecções respiratórias devidas a outros agentes externos especificados;
3717;J709;Afecções respiratórias devidas a agentes externos não especificados;
3718;J80;Síndrome do desconforto respiratório do adulto;
3719;J81;Edema pulmonar, não especificado de outra forma;
3720;J82;Eosinofilia pulmonar, não classificada em outra parte;
3721;J840;Afecções alveolares e parieto-alveolares;
3722;J841;Outras doenças pulmonares intersticiais com fibrose;
3723;J848;Outras doenças pulmonares intersticiais especificadas;
3724;J849;Doença pulmonar intersticial não especificadas;
3725;J850;Gangrena e necrose do pulmão;
3726;J851;Abscesso do pulmão com pneumonia;
3727;J852;Abscesso do pulmão sem pneumonia;
3728;J853;Abscesso do mediastino;
3729;J860;Piotórax com fístula;
3730;J869;Piotórax sem fístula;
3731;J90;Derrame pleural não classificado em outra parte;
3732;J91;Derrame pleural em afecções classificadas em outra parte;
3733;J920;Placas pleurais com presença de amianto [asbesto];
3734;J929;Placas pleurais sem presença de amianto [asbesto];
3735;J930;Pneumotórax de tensão, espontâneo;
3736;J931;Outras formas de pneumotórax espontâneo;
3737;J938;Outros tipos de pneumotórax, especificados;
3738;J939;Pneumotórax não especificado;
3739;J940;Derrame quiloso ou quiliforme;
3740;J941;Fibrotórax;
3741;J942;Hemotórax;
3742;J948;Outras afecções pleurais especificadas;
3743;J949;Afecção pleural não especificada;
3744;J950;Mau funcionamento de traqueostomia;
3745;J951;Insuficiência pulmonar aguda subsequente a cirurgia torácica;
3746;J952;Insuficiência pulmonar aguda subsequente a cirurgia não torácica;
3747;J953;Insuficiência pulmonar crônica pós-cirúrgica;
3748;J954;Síndrome de Mendelson;
3749;J955;Estenose subglótica pós-procedimento;
3750;J958;Outros transtornos respiratórios pós-procedimentos;
3751;J959;Transtornos respiratórios pós-procedimentos não especificados;
3752;J960;Insuficiência respiratória aguda;
3753;J961;Insuficiência respiratória crônica;
3754;J969;Insuficiência respiratória não especificada;
3755;J980;Outras doenças dos brônquios não classificadas em outra parte;
3756;J981;Colapso pulmonar;
3757;J982;Enfisema intersticial;
3758;J983;Enfisema compensatório;
3759;J984;Outros transtornos pulmonares;
3760;J985;Doenças do mediastino não classificadas em outra parte;
3761;J986;Transtornos do diafragma;
3762;J988;Outros transtornos respiratórios especificados;
3763;J989;Transtorno respiratório não especificados;
3764;J990;Doença pulmonar reumatóide;
3765;J991;Transtornos respiratórios em outras doenças sistêmicas do tecido conjuntivo classificadas em outra parte;
3766;J998;Transtornos respiratórios em outras doenças classificadas em outra parte;
3767;K000;Anodontia;
3768;K001;Dentes supranumerários;
3769;K002;Anomalias do tamanho e da forma dos dentes;
3770;K003;Dentes manchados;
3771;K004;Distúrbios na formação dos dentes;
3772;K005;Anomalias hereditárias da estrutura dentária não classificadas em outra parte;
3773;K006;Distúrbios da erupção dentária;
3774;K007;Síndrome da erupção dentária;
3775;K008;Outros distúrbios do desenvolvimento dos dentes;
3776;K009;Distúrbio não especificado do desenvolvimento dentário;
3777;K010;Dentes inclusos;
3778;K011;Dentes impactados;
3779;K020;Cáries limitadas ao esmalte;
3780;K021;Cáries da dentina;
3781;K022;Cárie do cemento;
3782;K023;Cáries dentárias estáveis;
3783;K024;Odontoclasia;
3784;K028;Outras cáries dentárias;
3785;K029;Cárie dentária, sem outra especificação;
3786;K030;Atrito dentário excessivo;
3787;K031;Abrasão dentária;
3788;K032;Erosão dentária;
3789;K033;Reabsorção patológica dos dentes;
3790;K034;Hipercementose;
3791;K035;Ancilose dentária;
3792;K036;Depósitos nos dentes;
3793;K037;Alterações pós-eruptivas da cor dos tecidos duros dos dentes;
3794;K038;Outras doenças especificadas dos tecidos duros dos dentes;
3795;K039;Doença dos tecidos duros dos dentes, não especificada;
3796;K040;Pulpite;
3797;K041;Necrose da polpa;
3798;K042;Degeneração da polpa;
3799;K043;Formação anormal de tecidos duros na polpa;
3800;K044;Periodontite apical aguda de origem pulpar;
3801;K045;Periodontite apical crônica;
3802;K046;Abscesso periapical com fístula;
3803;K047;Abscesso periapical sem fístula;
3804;K048;Cisto radicular;
3805;K049;Outras doenças da polpa e dos tecidos periapicais e as não especificadas;
3806;K050;Gengivite aguda;
3807;K051;Gengivite crônica;
3808;K052;Periodontite aguda;
3809;K053;Periodontite crônica;
3810;K054;Periodontose;
3811;K055;Outras doenças periodontais;
3812;K056;Doença periodontal, sem outra especificação;
3813;K060;Retração gengival;
3814;K061;Hiperplasia gengival;
3815;K062;Lesões da gengiva e do rebordo alveolar sem dentes, associadas a traumatismos;
3816;K068;Outros transtornos especificados da gengiva e do rebordo alveolar sem dentes;
3817;K069;Transtorno da gengiva e do rebordo alveolar sem dentes sem outra especificação;
3818;K070;Anomalias importantes (major) do tamanho da mandíbula;
3819;K071;Anomalias da relação entre a mandíbula com a base do crânio;
3820;K072;Anomalias da relação entre as arcadas dentárias;
3821;K073;Anomalias da posição dos dentes;
3822;K074;Maloclusão, não especificada;
3823;K075;Anormalidades dentofaciais funcionais;
3824;K076;Transtornos da articulação temporomandibular;
3825;K078;Outras anomalias dentofaciais;
3826;K079;Anomalia dentofacial, sem outra especificação;
3827;K080;Exfoliação dos dentes devida a causas sistêmicas;
3828;K081;Perda de dentes devida a acidente, extração ou a doenças periodontais localizadas;
3829;K082;Atrofia do rebordo alveolar sem dentes;
3830;K083;Raiz dentária retida;
3831;K088;Outros transtornos especificados dos dentes e das estruturas de sustentação;
3832;K089;Transtorno dos dentes e de suas estruturas de sustentação, sem outra especificação;
3833;K090;Cistos odontogênicos de desenvolvimento;
3834;K091;Cistos de desenvolvimento (não-odontogênicos) da região bucal;
3835;K092;Outros cistos das mandíbulas;
3836;K098;Outros cistos da região oral não classificados em outra parte;
3837;K099;Cistos da região oral, sem outras especificações;
3838;K100;Transtornos do desenvolvimento dos maxilares;
3839;K101;Granuloma central de células gigantes;
3840;K102;Afecções inflamatórias dos maxilares;
3841;K103;Alveolite maxilar;
3842;K108;Outras doenças especificadas dos maxilares;
3843;K109;Doença dos maxilares, sem outra especificação;
3844;K110;Atrofia de glândula salivar;
3845;K111;Hipertrofia de glândula salivar;
3846;K112;Sialadenite;
3847;K113;Abscesso de glândula salivar;
3848;K114;Fístula de glândula salivar;
3849;K115;Sialolitíase;
3850;K116;Mucocele de glândula salivar;
3851;K117;Alterações da secreção salivar;
3852;K118;Outras doenças das glândulas salivares;
3853;K119;Doença de glândula salivar, sem outra especificação;
3854;K120;Aftas bucais recidivantes;
3855;K121;Outras formas de estomatite;
3856;K122;Celulite e abscesso da boca;
3857;K130;Doenças dos lábios;
3858;K131;Mordedura da mucosa das bochechas e dos lábios;
3859;K132;Leucoplasia e outras afecções do epitélio oral, inclusive da língua;
3860;K133;Leucoplasia pilosa;
3861;K134;Lesões granulomatosas e granulomatóides da mucosa oral;
3862;K135;Fibrose oral submucosa;
3863;K136;Hiperplasia irritativa da mucosa oral;
3864;K137;Outras lesões e as não especificadas da mucosa oral;
3865;K140;Glossite;
3866;K141;Língua geográfica;
3867;K142;Glossite rombóide mediana;
3868;K143;Hipertrofia das papilas linguais;
3869;K144;Atrofia das papilas linguais;
3870;K145;Língua escrotal;
3871;K146;Glossodínia;
3872;K148;Outras doenças da língua;
3873;K149;Doença da língua, sem outra especificação;
3874;K20;Esofagite;
3875;K210;Doença de refluxo gastroesofágico com esofagite;
3876;K219;Doença de refluxo gastroesofágico sem esofagite;
3877;K220;Acalásia do cárdia;
3878;K221;Úlcera do esôfago;
3879;K222;Obstrução do esôfago;
3880;K223;Perfuração do esôfago;
3881;K224;Discinesia do esôfago;
3882;K225;Divertículo do esôfago adquirido;
3883;K226;Síndrome da laceração hemorrágica gastroesofágica;
3884;K227;Esôfago de Barret;
3885;K228;Outras doenças especificadas do esôfago;
3886;K229;Doença do esôfago, sem outra especificação;
3887;K230;Esofagite tuberculosa;
3888;K231;Megaesôfago na doença de Chagas;
3889;K238;Transtornos do esôfago em outras doenças classificadas em outra parte;
3890;K250;Úlcera gástrica - aguda com hemorragia;
3891;K251;Úlcera gástrica - aguda com perfuração;
3892;K252;Úlcera gástrica - aguda com hemorragia e perfuração;
3893;K253;Úlcera gástrica - aguda sem hemorragia ou perfuração;
3894;K254;Úlcera gástrica - crônica ou não especificada com hemorragia;
3895;K255;Úlcera gástrica - crônica ou não especificada com perfuração;
3896;K256;Úlcera gástrica - crônica ou não especificada com hemorragia e perfuração;
3897;K257;Úlcera gástrica - crônica sem hemorragia ou perfuração;
3898;K259;Úlcera gástrica - não especificada como aguda ou crônica, sem hemorragia ou perfuração;
3899;K260;Úlcera duodenal - aguda com hemorragia;
3900;K261;Úlcera duodenal - aguda com perfuração;
3901;K262;Úlcera duodenal - aguda com hemorragia e perfuração;
3902;K263;Úlcera duodenal - aguda sem hemorragia ou perfuração;
3903;K264;Úlcera duodenal - crônica ou não especificada com hemorragia;
3904;K265;Úlcera duodenal - crônica ou não especificada com perfuração;
3905;K266;Úlcera duodenal - crônica ou não especificada com hemorragia e perfuração;
3906;K267;Úlcera duodenal - crônica sem hemorragia ou perfuração;
3907;K269;Úlcera duodenal - não especificada como aguda ou crônica, sem hemorragia ou perfuração;
3908;K270;Úlcera péptica de localização não especificada - aguda com hemorragia;
3909;K271;Úlcera péptica de localização não especificada - aguda com perfuração;
3910;K272;Úlcera péptica de localização não especificada - aguda com hemorragia e perfuração;
3911;K273;Úlcera péptica de localização não especificada - aguda sem hemorragia ou perfuração;
3912;K274;Úlcera péptica de localização não especificada - crônica ou não especificada com hemorragia;
3913;K275;Úlcera péptica de localização não especificada - crônica ou não especificada com perfuração;
3914;K276;Úlcera péptica de localização não especificada - crônica ou não especificada com hemorragia e perfuração;
3915;K277;Úlcera péptica de localização não especificada - crônica sem hemorragia ou perfuração;
3916;K279;Úlcera péptica de localização não especificada - não especificada como aguda ou crônica, sem hemorragia ou perfuração;
3917;K280;Úlcera gastrojejunal - aguda com hemorragia;
3918;K281;Úlcera gastrojejunal - aguda com perfuração;
3919;K282;Úlcera gastrojejunal - aguda com hemorragia e perfuração;
3920;K283;Úlcera gastrojejunal - aguda sem hemorragia ou perfuração;
3921;K284;Úlcera gastrojejunal - crônica ou não especificada com hemorragia;
3922;K285;Úlcera gastrojejunal - crônica ou não especificada com perfuração;
3923;K286;Úlcera gastrojejunal - crônica ou não especificada com hemorragia e perfuração;
3924;K287;Úlcera gastrojejunal - crônica sem hemorragia ou perfuração;
3925;K289;Úlcera gastrojejunal - não especificada como aguda ou crônica, sem hemorragia ou perfuração;
3926;K290;Gastrite hemorrágica aguda;
3927;K291;Outras gastrites agudas;
3928;K292;Gastrite alcoólica;
3929;K293;Gastrite superficial crônica;
3930;K294;Gastrite atrófica crônica;
3931;K295;Gastrite crônica, sem outra especificação;
3932;K296;Outras gastrites;
3933;K297;Gastrite não especificada;
3934;K298;Duodenite;
3935;K299;Gastroduodenite, sem outra especificação;
3936;K30;Dispepsia;
3937;K310;Dilatação aguda do estômago;
3938;K311;Estenose pilórica hipertrófica do adulto;
3939;K312;Estenose e estreitamento em ampulheta do estômago;
3940;K313;Espasmo do piloro não classificado em outra parte;
3941;K314;Divertículo gástrico;
3942;K315;Obstrução do duodeno;
3943;K316;Fístula do estômago e do duodeno;
3944;K317;Pólipo do estômago e do duodeno;
3945;K318;Outras doenças especificadas do estômago e do duodeno;
3946;K319;Doenças do estômago e do duodeno, sem outra especificação;
3947;K350;Apendicite aguda com peritonite generalizada;
3948;K351;Apendicite aguda com abscesso peritonial;
3949;K359;Apendicite aguda sem outra especificação;
3950;K36;Outras formas de apendicite;
3951;K37;Apendicite, sem outras especificações;
3952;K380;Hiperplasia do apêndice;
3953;K381;Concreções apendiculares;
3954;K382;Divertículo do apêndice;
3955;K383;Fístula do apêndice;
3956;K388;Outras doenças especificadas do apêndice;
3957;K389;Doença do apêndice, sem outra especificação;
3958;K400;Hérnia inguinal bilateral, com obstrução, sem gangrena;
3959;K401;Hérnia inguinal bilateral, com gangrena;
3960;K402;Hérnia inguinal bilateral, sem obstrução ou gangrena;
3961;K403;Hérnia inguinal unilateral ou não especificada, com obstrução sem gangrena;
3962;K404;Hérnia inguinal unilateral ou não especificada, com gangrena;
